,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66
36604,3454591,Córrego da Pedra,Corrego da Pedra,-21.36667,-41.71667,H,STM,BR,,21.0,,,,0,,52,America/Sao_Paulo,2012-01-19,Corrego da Pedra,Corrego das Pedras,Córrego da Pedra,Córrego das Pedras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36605,3454592,Córrego da Pedra,Corrego da Pedra,-18.15,-40.6,H,STM,BR,,0.0,,,,0,,237,America/Bahia,2012-12-05,Corrego da Pedra,Córrego da Pedra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36606,3454593,Córrego da Pedra,Corrego da Pedra,-16.88333,-49.03333,H,STM,BR,,29.0,,,,0,,687,America/Sao_Paulo,2013-02-09,Corrego da Pedra,Córrego da Pedra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36607,3454594,Pedra,Pedra,-29.0,-49.83333,P,PPL,BR,,26.0,4208708.0,,,0,,84,America/Sao_Paulo,2012-08-03,Pedra,Rio da Pedra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36608,3454595,Pedra,Pedra,-21.2,-47.61667,P,PPL,BR,,27.0,3551504.0,,,0,,571,America/Sao_Paulo,2012-08-03,Fazenda da Pedra,Pedra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36609,3454596,Pedra,Pedra,-15.75,-39.88333,P,PPL,BR,,5.0,2925402.0,,,0,,275,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36610,3454597,Pedra,Pedra,-13.21667,-38.96667,P,PPL,BR,,5.0,2917805.0,,,0,,17,America/Bahia,2012-08-03,Pedra,Pedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36611,3454598,Pedra,Pedra,-11.7,-42.85,P,PPL,BR,,5.0,2921609.0,,,0,,498,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36612,3454599,Pedra,Pedra,-10.0,-45.35,P,PPL,BR,,20.0,2209757.0,,,0,,530,America/Fortaleza,2012-08-03,Pedra,Pedras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36613,3454600,Ribeirão Pé do Morro,Ribeirao Pe do Morro,-16.61667,-43.26667,H,STM,BR,,15.0,,,,0,,785,America/Bahia,2012-01-19,Ribeirao Pe do Mo,Ribeirao Pe do Morro,Ribeirão Pé do Mo,Ribeirão Pé do Morro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
