90052,7691834,Barro Salto do Meio,Barro Salto do Meio,-25.80642,-48.99058,P,PPL,BR,,18.0,4125506.0,,,0,,782,America/Sao_Paulo,2012-08-03,Barro Salto do Meio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90053,7691835,Sítio Luiz de Moura,Sitio Luiz de Moura,-25.81222,-48.92321,P,PPL,BR,,18.0,4125506.0,,,0,,294,America/Sao_Paulo,2012-08-03,Sitio Luiz de Moura,Sítio Luiz de Moura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90054,7691836,Cândido,Candido,-25.7817,-48.7105,L,LCTY,BR,,18.0,,,,0,,15,America/Sao_Paulo,2012-01-21,Candido,Cândido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90055,7691837,Morro do Cândido,Morro do Candido,-25.7855,-48.71126,T,HLL,BR,,18.0,4109609.0,,,0,46.0,50,America/Sao_Paulo,2012-08-03,Morro do Candido,Morro do Cândido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90056,7691838,Sítio Ananias,Sitio Ananias,-25.7861,-48.7178,P,PPL,BR,,18.0,4109609.0,,,0,,22,America/Sao_Paulo,2012-08-03,Sitio Ananias,Sítio Ananias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90057,7691839,Rio Rasgadinho,Rio Rasgadinho,-25.79353,-48.74351,H,STM,BR,,18.0,,,,0,,7,America/Sao_Paulo,2012-01-21,Rio Rasgadinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90058,7691840,Rio Rasgado,Rio Rasgado,-25.79591,-48.73737,H,STM,BR,,18.0,,,,0,,5,America/Sao_Paulo,2012-01-21,Rio Rasgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90059,7691841,Rio Preto,Rio Preto,-25.80908,-48.73796,H,STM,BR,,18.0,,,,0,,4,America/Sao_Paulo,2012-01-21,Rio Preto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90060,7691842,Rio Esteio Grande,Rio Esteio Grande,-25.79927,-48.7267,H,STM,BR,,18.0,,,,0,,3,America/Sao_Paulo,2012-01-21,Rio Esteio Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90061,7691843,Rio da Palha,Rio da Palha,-25.79015,-48.71856,H,STM,BR,,18.0,,,,0,,5,America/Sao_Paulo,2012-01-21,Rio da Palha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
