,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52
3325,3663713,Lago Jurará,Lago Jurara,-666.667,-6.248.333,H,LK,BR,,4,,,,0,,41,America/Porto_Velho,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3326,3663714,Jurará,Jurara,-661.667,-6.236.667,P,PPL,BR,,4,1301704.0,,,0,,51,America/Manaus,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3327,3663715,Igarapé Juraci,Igarape Juraci,-773.333,-7.043.333,H,STM,BR,BR,0,,,,0,,215,America/Porto_Velho,19/01/2012,Igarape Juaci,Igarape Juraci,Igarapé Juaci,Igarapé Juraci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3328,3663716,Juquiquera,Juquiquera,-0.28333,-63,P,PPL,BR,,4,1300409.0,,,0,,30,America/Manaus,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3329,3663717,Rio Juqui,Rio Juqui,-650.976,-6.168.649,H,STM,BR,,4,,,,0,,34,America/Manaus,04/04/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3330,3663718,Rio Jupurabi,Rio Jupurabi,103.404,-6.752.066,H,STM,BR,,4,,,,0,,84,America/Manaus,07/10/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3331,3663719,Rio Jundiá,Rio Jundia,1.95,-6.241.667,H,STM,BR,BR,25,,,,0,,160,America/Boa_Vista,28/08/2021,Igarape Jandia,Igarapé Jandia,Jundia River,Jundiá River,Rio Jundia,Rio Jundiá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332,3663720,Cachoeira Jundiá,Cachoeira Jundia,193.306,-62.35,H,FLLS,BR,,25,,,,0,,145,America/Boa_Vista,26/02/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3333,3663721,Jumas,Jumas,-689.116,-6.267.634,P,PPL,BR,,4,1301704.0,,,0,,63,America/Manaus,04/04/2013,Jumas,Jumas Quadros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3334,3663722,Rio Juma,Rio Juma,-600.033,-6.018.914,H,STM,BR,,4,,,,0,,19,America/Manaus,22/08/2021,Juma River,Rio Jahuna,Rio Juma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3335,3663723,Rio Juma,Rio Juma,-4.95,-6.451.667,H,STM,BR,BR,4,,,,0,,78,America/Porto_Velho,19/01/2012,Rio Juma,Rio Juna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3336,3663724,Júlia,Julia,-161.902,-6.802.798,P,PPL,BR,,4,1302108.0,,,0,,79,America/Manaus,07/10/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3337,3663725,Rio Juiciã,Rio Juicia,-793.333,-6.513.333,H,STM,BR,,4,,,,0,,83,America/Porto_Velho,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3338,3663726,Rio Jufari,Rio Jufari,-121.544,-6.198.762,H,STM,BR,,0,,,,0,,12,America/Manaus,07/07/2021,Rio Iupari,Rio Jotari,Rio Jufari,Rio Jufary,Rio Jupari,Rio Juparí,Rio Yupary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3339,3663727,Lago Juçara,Lago Jucara,-398.333,-6.301.667,H,LK,BR,,4,,,,0,,34,America/Manaus,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3340,3663728,Ilha Juçara,Ilha Jucara,-393.528,-629.225,T,ISL,BR,,4,,,,0,,31,America/Manaus,05/12/2018,Ilha Jucara,Ilha Juçara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3341,3663729,Ilha Juçara,Ilha Jucara,-261.667,-65.5,T,ISL,BR,BR,4,,,,0,,58,America/Manaus,11/06/2020,Ilha Jucara,Ilha Jussara,Ilha Juçara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3342,3663730,Juca,Juca,114.507,-6.722.634,P,PPL,BR,,4,1303809.0,,,0,,96,America/Manaus,07/10/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3343,3663731,Rio Juami,Rio Juami,-175.951,-6.759.806,H,STM,BR,,4,,,,0,,53,America/Manaus,22/08/2021,Juami River,Rio Bani,Rio Jamiassu,Rio Joami,Rio Juami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3344,3663732,José Laurentino,Jose Laurentino,-863.333,-6.068.333,P,PPL,BR,BR,4,1303304.0,,,0,,232,America/Manaus,03/08/2012,Jose Laurentino,Jose Laurindo,José Laurentino,José Laurindo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3345,3663733,Ilha José João,Ilha Jose Joao,-490.329,-6.012.485,T,ISL,BR,,4,,,,0,,12,America/Manaus,04/04/2013,Ilha Jose Joao,Ilha José João,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
