geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername120,othername130,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55
3391453,Riacho dos Porcos,Riacho dos Porcos,,-738.333,-3.808.333,H,STMI,BR,,17,,,,0,,287,America/Recife,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391454,Riacho dos Porcos,Riacho dos Porcos,Porcos River$Riacho dos Porcos,-716.667,-3.906.667,H,STMI,BR,,6,,,,0,,319,America/Fortaleza,02/09/2021,Porcos River,Riacho dos Porcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391455,Riacho dos Porcos,Riacho dos Porcos,,-708.333,-3.766.667,H,STMI,BR,,17,,,,0,,317,America/Recife,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391456,Riacho dos Porcos,Riacho dos Porcos,,-6.25,-3.756.667,H,STMI,BR,,17,,,,0,,190,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391457,Riacho dos Porcos,Riacho dos Porcos,,-618.333,-3.753.333,H,STMI,BR,,17,,,,0,,179,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391458,Riacho dos Porcos,Riacho dos Porcos,,-576.667,-3.903.333,H,STMI,BR,,6,,,,0,,180,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391459,Riacho dos Porcos,Riacho dos Porcos,,-498.333,-3.986.667,H,STMI,BR,,6,,,,0,,412,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391460,Riacho dos Porcos,Riacho dos Porcos,,-413.333,-3.953.333,H,STMI,BR,,6,,,,0,,135,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391461,Riacho dos Porcos,Riacho dos Porcos,,-3.6,-4.001.667,H,STMI,BR,,6,,,,0,,74,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391462,Riacho dos Porcos,Riacho dos Porcos,,-336.667,-3.998.333,H,STMI,BR,,6,,,,0,,40,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
