geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
7777568,Sítio Ouro Branco,Sitio Ouro Branco,Sitio Ouro Branco$Sítio Ouro Branco,-2.386.193,-5.031.951,P,PPL,BR,,18,4109708,,,0,,641,America/Sao_Paulo,03/08/2012
7777569,Sítio Mário C. Endo,Sitio Mario C. Endo,Sitio Mario C. Endo$Sítio Mário C. Endo,-2.386.506,-5.032.428,P,PPL,BR,,18,4109708,,,0,,656,America/Sao_Paulo,03/08/2012
7777570,Sítio Miriã,Sitio Miria,Sitio Miria$Sítio Miriã,-2.386.429,-5.031.658,P,PPL,BR,,18,4109708,,,0,,669,America/Sao_Paulo,03/08/2012
7777571,Capela de Nossa Senhora Aparecida,Capela de Nossa Senhora Aparecida,Capela de Nossa Senhora Aparecida,-2.386.372,-5.030.764,S,CH,BR,,18,4109708,,,0,,680,America/Sao_Paulo,03/08/2012
7777572,Sítio Oswaldo Filho,Sitio Oswaldo Filho,Sitio Oswaldo Filho$Sítio Oswaldo Filho,-2.386.455,-5.030.789,P,PPL,BR,,18,4109708,,,0,,672,America/Sao_Paulo,03/08/2012
7777573,Sítio Limoeiro,Sitio Limoeiro,Sitio Limoeiro$Sítio Limoeiro,-2.386.773,-5.031.474,P,PPL,BR,,18,4109708,,,0,,643,America/Sao_Paulo,03/08/2012
7777574,Sítio Takamasha,Sitio Takamasha,Sitio Takamasha$Sítio Takamasha,-2.386.781,-50.304,P,PPL,BR,,18,4109708,,,0,,649,America/Sao_Paulo,03/08/2012
7777575,Sítio José L. Brás,Sitio Jose L. Bras,Sitio Jose L. Bras$Sítio José L. Brás,-2.387.099,-5.030.346,P,PPL,BR,,18,4109708,,,0,,641,America/Sao_Paulo,03/08/2012
7777576,Sítio Darci da Costa,Sitio Darci da Costa,Sitio Darci da Costa$Sítio Darci da Costa,-2.386.946,-503.184,P,PPL,BR,,18,4109708,,,0,,649,America/Sao_Paulo,03/08/2012
7777577,Sítio Alcides Sacoman,Sitio Alcides Sacoman,Sitio Alcides Sacoman$Sítio Alcides Sacoman,-2.387.167,-5.031.187,P,PPL,BR,,18,4109708,,,0,,615,America/Sao_Paulo,03/08/2012
7777578,Sítio Eugênio Heidegger,Sitio Eugenio Heidegger,Sitio Eugenio Heidegger$Sítio Eugênio Heidegger,-2.387.635,-5.031.366,P,PPL,BR,,18,4109708,,,0,,615,America/Sao_Paulo,03/08/2012
7777579,Sítio Murakame,Sitio Murakame,Sitio Murakame$Sítio Murakame,-2.387.279,-5.029.894,P,PPL,BR,,18,4109708,,,0,,653,America/Sao_Paulo,03/08/2012
7777580,Sítio Luiz P. da Silva,Sitio Luiz P. da Silva,Sitio Luiz P. da Silva$Sítio Luiz P. da Silva,-2.387.635,-5.029.975,P,PPL,BR,,18,4109708,,,0,,655,America/Sao_Paulo,03/08/2012
7777581,Sítio Orlando Paiva,Sitio Orlando Paiva,Sitio Orlando Paiva$Sítio Orlando Paiva,-2.387.718,-5.030.275,P,PPL,BR,,18,4109708,,,0,,653,America/Sao_Paulo,03/08/2012
7777582,Bairro Carvãozinho,Bairro Carvaozinho,Bairro Carvaozinho$Bairro Carvãozinho,-238.791,-502.985,L,LCTY,BR,,18,,,,0,,613,America/Sao_Paulo,21/01/2012
7777583,Ribeirão Limoeiro,Ribeirao Limoeiro,Ribeirao Limoeiro$Ribeirão Limoeiro,-238.819,-503.089,H,STM,BR,,18,,,,0,,577,America/Sao_Paulo,21/01/2012
7777584,Sítio Aires caldense,Sitio Aires caldense,Sitio Aires caldense$Sítio Aires caldense,-2.387.598,-5.032.053,P,PPL,BR,,18,4109708,,,0,,638,America/Sao_Paulo,03/08/2012
7777585,Sítio Mozone,Sitio Mozone,Sitio Mozone$Sítio Mozone,-2.387.535,-5.032.709,P,PPL,BR,,18,4109708,,,0,,620,America/Sao_Paulo,03/08/2012
7777586,Sítio Alvim,Sitio Alvim,Sitio Alvim$Sítio Alvim,-2.389.461,-5.032.783,P,PPL,BR,,18,4109708,,,0,,622,America/Sao_Paulo,03/08/2012
7777587,Água do Agrião,Agua do Agriao,Agua do Agriao$Água do Agrião,-2.388.451,-5.032.726,H,STM,BR,,18,,,,0,,556,America/Sao_Paulo,21/01/2012
7777588,Fazenda Fortaleza Velha,Fazenda Fortaleza Velha,Fazenda Fortaleza Velha,-2.389.416,-503.144,S,FRM,BR,,18,4109708,,,0,,637,America/Sao_Paulo,03/08/2012
7777589,Fazenda Nossa Senhora Aparecida,Fazenda Nossa Senhora Aparecida,Fazenda Nossa Senhora Aparecida,-2.389.657,-5.032.533,S,FRM,BR,,18,4109708,,,0,,641,America/Sao_Paulo,03/08/2012
7777590,Água do Mineiro,Agua do Mineiro,Agua do Mineiro$Água do Mineiro,-238.844,-503.129,H,STM,BR,,18,,,,0,,567,America/Sao_Paulo,21/01/2012
7777591,Sítio José Baiano,Sitio Jose Baiano,Sitio Jose Baiano$Sítio José Baiano,-2.388.672,-5.029.653,P,PPL,BR,,18,4109708,,,0,,645,America/Sao_Paulo,03/08/2012
7777592,Sítio Joaquim A. de Faria,Sitio Joaquim A. de Faria,Sitio Joaquim A. de Faria$Sítio Joaquim A. de Faria,-2.388.933,-5.029.423,P,PPL,BR,,18,4109708,,,0,,670,America/Sao_Paulo,03/08/2012
7777593,Sítio Mosume,Sitio Mosume,Sitio Mosume$Sítio Mosume,-2.389.572,-502.923,P,PPL,BR,,18,4109708,,,0,,687,America/Sao_Paulo,03/08/2012
7777594,Sítio Nakawa,Sitio Nakawa,Sitio Nakawa$Sítio Nakawa,-2.389.563,-5.030.164,P,PPL,BR,,18,4109708,,,0,,679,America/Sao_Paulo,03/08/2012
7777595,Sítio Santo Antônio,Sitio Santo Antonio,Sitio Santo Antonio$Sítio Santo Antônio,-2.390.259,-503.015,P,PPL,BR,,18,4109708,,,0,,687,America/Sao_Paulo,03/08/2012
7777596,Sítio Nossa Senhora de Fátima,Sitio Nossa Senhora de Fatima,Sitio Nossa Senhora de Fatima$Sítio Nossa Senhora de Fátima,-2.390.004,-5.031.451,P,PPL,BR,,18,4109708,,,0,,686,America/Sao_Paulo,03/08/2012
7777597,Água da Capivara,Agua da Capivara,Agua da Capivara$Água da Capivara,-238.998,-503.449,H,STM,BR,,18,,,,0,,563,America/Sao_Paulo,21/01/2012
7777598,Sítio Elias Rodrigues,Sitio Elias Rodrigues,Sitio Elias Rodrigues$Sítio Elias Rodrigues,-2.390.693,-5.032.459,P,PPL,BR,,18,4109708,,,0,,648,America/Sao_Paulo,03/08/2012
7777599,Água do Sapecado,Agua do Sapecado,Agua do Sapecado$Água do Sapecado,-239.158,-503.203,H,STM,BR,,18,,,,0,,563,America/Sao_Paulo,21/01/2012
7777600,Sítio Antônio B. de Camargo,Sitio Antonio B. de Camargo,Sitio Antonio B. de Camargo$Sítio Antônio B. de Camargo,-2.391.413,-5.030.278,P,PPL,BR,,18,4109708,,,0,,658,America/Sao_Paulo,03/08/2012
7777601,Sítio Francisco Alagoano,Sitio Francisco Alagoano,Sitio Francisco Alagoano$Sítio Francisco Alagoano,-2.391.918,-5.030.912,P,PPL,BR,,18,4109708,,,0,,650,America/Sao_Paulo,03/08/2012
7777602,Sítio Supercílio,Sitio Supercilio,Sitio Supercilio$Sítio Supercílio,-2.392.003,-5.031.428,P,PPL,BR,,18,4109708,,,0,,628,America/Sao_Paulo,03/08/2012
7777603,Sítio Benedito Semolino,Sitio Benedito Semolino,Sitio Benedito Semolino$Sítio Benedito Semolino,-2.392.061,-5.031.667,P,PPL,BR,,18,4109708,,,0,,611,America/Sao_Paulo,03/08/2012
7777604,Sítio Maria de Lourdes,Sitio Maria de Lourdes,Sitio Maria de Lourdes$Sítio Maria de Lourdes,-2.391.841,-5.031.935,P,PPL,BR,,18,4109708,,,0,,575,America/Sao_Paulo,03/08/2012
7777605,Fazenda Casa Branca,Fazenda Casa Branca,Fazenda Casa Branca,-2.392.512,-5.032.862,S,FRM,BR,,18,4107009,,,0,,627,America/Sao_Paulo,03/08/2012
7777606,Água São Mateus,Agua Sao Mateus,Agua Sao Mateus$Água São Mateus,-239.166,-50.339,H,STM,BR,,18,,,,0,,554,America/Sao_Paulo,21/01/2012
7777607,Fazenda Jaraguá,Fazenda Jaragua,Fazenda Jaragua$Fazenda Jaraguá,-2.393.995,-5.038.086,S,FRM,BR,,18,4107009,,,0,,788,America/Sao_Paulo,03/08/2012
7777608,Ribeirão São Xavier,Ribeirao Sao Xavier,Ribeirao Sao Xavier$Ribeirão São Xavier,-239.041,-503.626,H,STM,BR,,18,,,,0,,547,America/Sao_Paulo,21/01/2012
7777609,Sítio Rosamário M. Rodrigues,Sitio Rosamario M. Rodrigues,Sitio Rosamario M. Rodrigues$Sítio Rosamário M. Rodrigues,-2.393.684,-5.035.761,P,PPL,BR,,18,4107009,,,0,,617,America/Sao_Paulo,03/08/2012
7777610,Sítio Jesi Alves Rodrigues,Sitio Jesi Alves Rodrigues,Sitio Jesi Alves Rodrigues$Sítio Jesi Alves Rodrigues,-2.394.051,-5.035.247,P,PPL,BR,,18,4107009,,,0,,665,America/Sao_Paulo,03/08/2012
7777611,Fazenda Santa Lúcia,Fazenda Santa Lucia,Fazenda Santa Lucia$Fazenda Santa Lúcia,-2.394.304,-5.035.407,S,FRM,BR,,18,4107009,,,0,,678,America/Sao_Paulo,03/08/2012
7777612,Sítio Santo Antônio,Sitio Santo Antonio,Sitio Santo Antonio$Sítio Santo Antônio,-2.394.435,-5.036.499,P,PPL,BR,,18,4107009,,,0,,648,America/Sao_Paulo,03/08/2012
7777613,Fazenda Vanviju,Fazenda Vanviju,Fazenda Vanviju,-239.444,-503.406,S,FRM,BR,,18,4107009,,,0,,666,America/Sao_Paulo,03/08/2012
7777614,Sítio São João,Sitio Sao Joao,Sitio Sao Joao$Sítio São João,-239.259,-50.318,P,PPL,BR,,18,4109708,,,0,,590,America/Sao_Paulo,03/08/2012
7777615,Escola José do Patrocínio,Escola Jose do Patrocinio,Escola Jose do Patrocinio$Escola José do Patrocínio,-2.392.909,-5.031.117,S,SCH,BR,,18,4109708,,,0,,671,America/Sao_Paulo,03/08/2012
7777616,Sítio Santo Antônio,Sitio Santo Antonio,Sitio Santo Antonio$Sítio Santo Antônio,-2.393.143,-5.030.736,P,PPL,BR,,18,4109708,,,0,,611,America/Sao_Paulo,03/08/2012
7777617,Fazenda Nossa Senhora Aparecida,Fazenda Nossa Senhora Aparecida,Fazenda Nossa Senhora Aparecida,-2.393.359,-5.030.185,S,FRM,BR,,18,4109708,,,0,,601,America/Sao_Paulo,03/08/2012
7777618,Sítio José N. de Oliveira,Sitio Jose N. de Oliveira,Sitio Jose N. de Oliveira$Sítio José N. de Oliveira,-2.393.409,-5.030.568,P,PPL,BR,,18,4109708,,,0,,578,America/Sao_Paulo,03/08/2012
7777619,Sítio São Sebastião,Sitio Sao Sebastiao,Sitio Sao Sebastiao$Sítio São Sebastião,-2.393.511,-5.031.133,P,PPL,BR,,18,4109708,,,0,,578,America/Sao_Paulo,03/08/2012
7777620,Sítio São João,Sitio Sao Joao,Sitio Sao Joao$Sítio São João,-2.393.633,-5.031.711,P,PPL,BR,,18,4109708,,,0,,580,America/Sao_Paulo,03/08/2012
7777621,Sítio Boa Sorte,Sitio Boa Sorte,Sitio Boa Sorte$Sítio Boa Sorte,-2.393.745,-5.031.812,P,PPL,BR,,18,4109708,,,0,,581,America/Sao_Paulo,03/08/2012
7777622,Sítio São Benedito,Sitio Sao Benedito,Sitio Sao Benedito$Sítio São Benedito,-2.393.798,-5.032.156,P,PPL,BR,,18,4109708,,,0,,566,America/Sao_Paulo,03/08/2012
7777623,Bairro Amora-Preta,Bairro Amora-Preta,Bairro Amora-Preta,-2.394.174,-5.031.074,L,LCTY,BR,,18,,,,0,,673,America/Sao_Paulo,21/01/2012
