geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66,othername67,othername68,othername69,othername70,othername71,othername72,othername73,othername74,othername75,othername76,othername77,othername78,othername79,othername80,othername81,othername82,othername83,othername84,othername85,othername86,othername87,othername88,othername89,othername90,othername91,othername92,othername93,othername94,othername95,othername96,othername97,othername98
3461308,Rio Indaiàzinho,Rio Indaiazinho,Rio Indaiazinho$Rio Indaiàzinho,-1.946.667,-45.9,H,STM,BR,,15,,,,0,,764,America/Sao_Paulo,09/02/2013,Rio Indaiazinho,Rio Indaiàzinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461309,Ribeirão Indaiàzinho,Ribeirao Indaiazinho,Corrego do Indaiazinho$Córrego do Indaiazinho$Ribeirao Indaiazinho$Ribeirão Indaiàzinho,-1.918.333,-52.3,H,STM,BR,BR,11,,,,0,,450,America/Campo_Grande,19/01/2012,Corrego do Indaiazinho,Córrego do Indaiazinho,Ribeirao Indaiazinho,Ribeirão Indaiàzinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461310,Ribeirão Indaiatuba,Ribeirao Indaiatuba,Ribeirao Indaiaduba$Ribeirao Indaiatuba$Ribeirão Indaiaduba$Ribeirão Indaiatuba,-2.358.333,-4.861.667,H,STM,BR,BR,27,,,,0,,601,America/Sao_Paulo,19/01/2012,Ribeirao Indaiaduba,Ribeirao Indaiatuba,Ribeirão Indaiaduba,Ribeirão Indaiatuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461311,Indaiatuba,Indaiatuba,Indaiatuba$Indajatuba$inda'iyatuba$yin da ya tu ba$?????????$?????????????$?????,-2.308.842,-472.119,P,PPLA2,BR,,27,3520509.0,,,179911,,630,America/Sao_Paulo,28/06/2014,Indaiatuba,Indajatuba,inda'iyatuba,yin da ya tu ba,?????????,?????????????,?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461312,Indaiá Serra do,Indaia Serra do,Indaia Serra do$Indaiá Serra do,-2.028.333,-47.4,T,RDGE,BR,,27,,,,0,,1013,America/Sao_Paulo,05/03/2013,Indaia Serra do,Indaiá Serra do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461313,Indaial de Cima,Indaial de Cima,,-28.35,-4.893.333,P,PPL,BR,,26,4207205.0,,,0,,31,America/Sao_Paulo,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461314,Indaial de Baixo,Indaial de Baixo,,-28.4,-49,P,PPL,BR,,26,4206207.0,,,0,,5,America/Sao_Paulo,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461315,Indaial,Indaial,,-2.836.667,-48.9,P,PPL,BR,,26,4212650.0,,,0,,65,America/Sao_Paulo,17/07/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461316,Indaial,Indaial,Indaval,-2.689.778,-4.923.167,P,PPL,BR,,26,4207502.0,,,44359,,66,America/Sao_Paulo,03/08/2012,Indaval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461317,Rio Indaiá Grande,Rio Indaia Grande,Indaia Grande River$Indaiá Grande River$Ribeirao Indaia Grande$Ribeirão Indaiá Grande$Rio Indaia Grande$Rio Indaiá Grande,-1.954.989,-5.251.504,H,STM,BR,,11,,,,0,,352,America/Campo_Grande,07/09/2021,Indaia Grande River,Indaiá Grande River,Ribeirao Indaia Grande,Ribeirão Indaiá Grande,Rio Indaia Grande,Rio Indaiá Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
