,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27
318,7694038,Sítio Jacob Prorocki,Sitio Jacob Prorocki,-25.834,-494.807,P,PPL,BR,,18.0,4121208.0,,,0,,843,America/Sao_Paulo,03/08/2012,Sitio Jacob Prorocki,Sítio Jacob Prorocki,,,,,,,,,,,,,,,,,,,,,,,,,,
319,7694039,Sítio Leonardo Opaliuski,Sitio Leonardo Opaliuski,-258.352,-494.889,P,PPL,BR,,18.0,4121208.0,,,0,,898,America/Sao_Paulo,03/08/2012,Sitio Leonardo Opaliuski,Sítio Leonardo Opaliuski,,,,,,,,,,,,,,,,,,,,,,,,,,
320,7694040,Cachoeira,Cachoeira,-2.583.836,-4.948.726,L,LCTY,BR,,18.0,,,,0,,885,America/Sao_Paulo,21/01/2012,Cachoeira,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,7694041,Sítio Andre Prorocki,Sitio Andre Prorocki,-258.469,-494.863,P,PPL,BR,,18.0,4121208.0,,,0,,824,America/Sao_Paulo,03/08/2012,Sitio Andre Prorocki,Sítio Andre Prorocki,,,,,,,,,,,,,,,,,,,,,,,,,,
322,7694042,Sítio Luiz Sotok,Sitio Luiz Sotok,-258.475,-494.914,P,PPL,BR,,18.0,4121208.0,,,0,,823,America/Sao_Paulo,03/08/2012,Sitio Luiz Sotok,Sítio Luiz Sotok,,,,,,,,,,,,,,,,,,,,,,,,,,
323,7694043,Sítio Eleotério F. Andrade,Sitio Eleoterio F. Andrade,-258.521,-494.907,P,PPL,BR,,18.0,4121208.0,,,0,,837,America/Sao_Paulo,03/08/2012,Sitio Eleoterio F. Andrade,Sítio Eleotério F. Andrade,,,,,,,,,,,,,,,,,,,,,,,,,,
324,7694044,Campina dos Pretos,Campina dos Pretos,-2.586.102,-4.948.978,L,LCTY,BR,,18.0,,,,0,,811,America/Sao_Paulo,21/01/2012,Campina dos Pretos,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,7694045,Sítio Rosa Kograki,Sitio Rosa Kograki,-258.655,-494.891,P,PPL,BR,,18.0,4121208.0,,,0,,809,America/Sao_Paulo,03/08/2012,Sitio Rosa Kograki,Sítio Rosa Kograki,,,,,,,,,,,,,,,,,,,,,,,,,,
326,7694046,Sítio Antônio Cantelli,Sitio Antonio Cantelli,-258.501,-494.717,P,PPL,BR,,18.0,4121208.0,,,0,,849,America/Sao_Paulo,03/08/2012,Sitio Antonio Cantelli,Sítio Antônio Cantelli,,,,,,,,,,,,,,,,,,,,,,,,,,
327,7694047,Brancos,Brancos,-258.537,-494.747,P,PPLL,BR,,18.0,4121208.0,,,0,,832,America/Sao_Paulo,03/08/2012,Brancos,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,7694048,Sítio Teófilo Laskosk,Sitio Teofilo Laskosk,-258.585,-494.649,P,PPL,BR,,18.0,4121208.0,,,0,,864,America/Sao_Paulo,03/08/2012,Sitio Teofilo Laskosk,Sítio Teófilo Laskosk,,,,,,,,,,,,,,,,,,,,,,,,,,
329,7694049,Sítio Lindolfo Pinheiro,Sitio Lindolfo Pinheiro,-258.678,-494.676,P,PPL,BR,,18.0,4121208.0,,,0,,843,America/Sao_Paulo,03/08/2012,Sitio Lindolfo Pinheiro,Sítio Lindolfo Pinheiro,,,,,,,,,,,,,,,,,,,,,,,,,,
330,7694050,Sítio Batista,Sitio Batista,-2.586.631,-4.945.796,P,PPL,BR,,18.0,4121208.0,,,0,,845,America/Sao_Paulo,03/08/2012,Sitio Batista,Sítio Batista,,,,,,,,,,,,,,,,,,,,,,,,,,
331,7694051,Sítio Antenor,Sitio Antenor,-2.586.442,-494.574,P,PPL,BR,,18.0,4121208.0,,,0,,844,America/Sao_Paulo,03/08/2012,Sitio Antenor,Sítio Antenor,,,,,,,,,,,,,,,,,,,,,,,,,,
332,7694052,Caí de Cima,Cai de Cima,-25.856,-494.545,P,PPLL,BR,,18.0,4121208.0,,,0,,896,America/Sao_Paulo,03/08/2012,Cai de Cima,Caí de Cima,,,,,,,,,,,,,,,,,,,,,,,,,,
333,7694053,Sítio Leonardo Kaiss,Sitio Leonardo Kaiss,-258.532,-494.536,P,PPL,BR,,18.0,4121208.0,,,0,,894,America/Sao_Paulo,03/08/2012,Sitio Leonardo Kaiss,Sítio Leonardo Kaiss,,,,,,,,,,,,,,,,,,,,,,,,,,
334,7694054,Sítio Afonso Brichi,Sitio Afonso Brichi,-258.616,-494.438,P,PPL,BR,,18.0,4121208.0,,,0,,877,America/Sao_Paulo,03/08/2012,Sitio Afonso Brichi,Sítio Afonso Brichi,,,,,,,,,,,,,,,,,,,,,,,,,,
335,7694055,Sítio José Carazava,Sitio Jose Carazava,-258.519,-494.416,P,PPL,BR,,18.0,4121208.0,,,0,,881,America/Sao_Paulo,03/08/2012,Sitio Jose Carazava,Sítio José Carazava,,,,,,,,,,,,,,,,,,,,,,,,,,
336,7694056,Sítio Aleixo Juclinsk,Sitio Aleixo Juclinsk,-258.532,-494.289,P,PPL,BR,,18.0,4121208.0,,,0,,852,America/Sao_Paulo,03/08/2012,Sitio Aleixo Juclinsk,Sítio Aleixo Juclinsk,,,,,,,,,,,,,,,,,,,,,,,,,,
337,7694057,Escola Vereador João da S. Freitas,Escola Vereador Joao da S. Freitas,-258.628,-494.228,S,SCH,BR,,18.0,4121208.0,,,0,,870,America/Sao_Paulo,03/08/2012,Escola Vereador Joao da S. Freitas,Escola Vereador João da S. Freitas,,,,,,,,,,,,,,,,,,,,,,,,,,
338,7694058,Caí de Cima,Cai de Cima,-2.585.957,-494.245,P,PPLL,BR,,18.0,4121208.0,,,0,,846,America/Sao_Paulo,03/08/2012,Cai de Cima,Caí de Cima,,,,,,,,,,,,,,,,,,,,,,,,,,
339,7694059,Mato Branco,Mato Branco,-25.852,-49.412,P,PPLL,BR,,18.0,4121208.0,,,0,,860,America/Sao_Paulo,03/08/2012,Mato Branco,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,7694060,Sítio Alice Carvalho,Sitio Alice Carvalho,-258.557,-494.085,P,PPL,BR,,18.0,4114302.0,,,0,,841,America/Sao_Paulo,03/08/2012,Sitio Alice Carvalho,Sítio Alice Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,
341,7694061,Mato Branco,Mato Branco,-258.584,-493.987,P,PPLL,BR,,18.0,4114302.0,,,0,,868,America/Sao_Paulo,03/08/2012,Mato Branco,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,7694062,Rio Caí,Rio Cai,-259.221,-4.944.858,H,STM,BR,,18.0,,,,0,,814,America/Sao_Paulo,09/08/2021,Cai River,Caí River,Rio Cai,Rio Caí,,,,,,,,,,,,,,,,,,,,,,,,
343,7694063,Mato Branco dos Carvalho,Mato Branco dos Carvalho,-2.586.967,-4.940.846,L,LCTY,BR,,18.0,,,,0,,882,America/Sao_Paulo,21/01/2012,Mato Branco dos Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,7694064,Sítio Araci Atonhac,Sitio Araci Atonhac,-258.699,-494.046,P,PPL,BR,,18.0,4114302.0,,,0,,870,America/Sao_Paulo,03/08/2012,Sitio Araci Atonhac,Sítio Araci Atonhac,,,,,,,,,,,,,,,,,,,,,,,,,,
345,7694065,Sítio Pedro Vergensoli,Sitio Pedro Vergensoli,-258.801,-494.126,P,PPL,BR,,18.0,4114302.0,,,0,,887,America/Sao_Paulo,03/08/2012,Sitio Pedro Vergensoli,Sítio Pedro Vergensoli,,,,,,,,,,,,,,,,,,,,,,,,,,
346,7694066,Areia Branca dos Nogueira,Areia Branca dos Nogueira,-258.848,-493.974,L,LCTY,BR,,18.0,,,,0,,848,America/Sao_Paulo,21/01/2012,Areia Branca dos Nogueira,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,7694067,Caí de Baixo,Cai de Baixo,-2.588.253,-4.941.623,L,LCTY,BR,,18.0,,,,0,,899,America/Sao_Paulo,21/01/2012,Cai de Baixo,Caí de Baixo,,,,,,,,,,,,,,,,,,,,,,,,,,
348,7694068,Sítio Romão Barão,Sitio Romao Barao,-258.796,-49.426,P,PPL,BR,,18.0,4114302.0,,,0,,833,America/Sao_Paulo,03/08/2012,Sitio Romao Barao,Sítio Romão Barão,,,,,,,,,,,,,,,,,,,,,,,,,,
