,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30
4611,11427402,Luis Eduardo Magalhães,Luis Eduardo Magalhaes,-1.209.086,-4.578.501,P,PPL,BR,,5.0,2919553.0,,,0,,767,America/Bahia,12/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4612,11428728,Engineering School of Lorena$ University of São Paulo,Engineering School of Lorena$ University of Sao Paulo,-2.269.776,-4.511.842,S,UNIV,BR,,27.0,3527207.0,,,0,531.0,529,America/Sao_Paulo,30/01/2017,EEL-Usp,Escola de Engenharia de Lorena da Universidade de Sao Paulo,Escola de Engenharia de Lorena da Universidade de São Paulo,Escuela de Ingenieria de Lorena de la Universidad de Sao Paulo,Escuela de Ingeniería de Lorena de la Universidad de São Paulo,Faenquil,,,,,,,,,,,,,,,,,,,,,,,,,
4613,11467907,Classic Motel,Classic Motel,-585.804,-3.521.658,S,HTL,BR,,22.0,2408102.0,,,0,,46,America/Fortaleza,13/02/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4614,11468550,Jericoacoara Airport,Jericoacoara Airport,-290.567,-4.035.587,S,AIRP,BR,,6.0,2304251.0,,,0,,26,America/Fortaleza,28/10/2017,Aeroporto Internacional de Jericoacoara,JJD,Jericoacoara Airport,Jericoacoara International Airport,SSVV,,,,,,,,,,,,,,,,,,,,,,,,,,
4615,11495794,Mina Du Veloso,Mina Du Veloso,-2.037.636,-4.351.603,L,RGNH,BR,,15.0,3146107.0,,,0,1250.0,1192,America/Sao_Paulo,14/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4616,11497731,Calcanhar Lighthouse,Calcanhar Lighthouse,-516.112,-3.548.656,S,LTHSE,BR,,22.0,2414407.0,,,0,,10,America/Fortaleza,07/11/2017,Farol do Calcanhar,Olhos D'Agua Light,Touros Lighthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4617,11497757,Morro Branco,Morro Branco,-514.899,-3.553.219,T,HLL,BR,,22.0,2414407.0,,,0,,39,America/Fortaleza,05/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4618,11498604,Asunto,Asunto,-1.100.324,-6.889.333,P,PPL,BR,,1.0,1200104.0,,,0,,224,America/Rio_Branco,23/07/2018,Asunto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4619,11498609,Buena Vista,Buena Vista,-1.101.797,-6.890.981,P,PPL,BR,,1.0,1200104.0,,,0,,215,America/Rio_Branco,23/07/2018,Buena Vista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4620,11498610,Barraca Santa Ana,Barraca Santa Ana,-1.100.517,-6.888.498,P,PPL,BR,,1.0,1200104.0,,,0,,221,America/Rio_Branco,23/07/2018,Barraca Santa Ana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4621,11498612,Barraca Palmera,Barraca Palmera,-1.100.879,-6.886.827,P,PPL,BR,,1.0,1200104.0,,,0,,208,America/Rio_Branco,23/07/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4622,11498613,Barraca San Juan,Barraca San Juan,-1.100.291,-688.574,P,PPL,BR,,1.0,1200104.0,,,0,,202,America/Rio_Branco,23/07/2018,Barraca San Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4623,11498614,Comunidad Belmonte,Comunidad Belmonte,-1.100.038,-6.881.014,P,PPL,BR,,1.0,1200104.0,,,0,,204,America/Rio_Branco,23/07/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4624,11498676,America,America,-1.110.101,-685.435,P,PPL,BR,,1.0,1200252.0,,,0,,257,America/Rio_Branco,23/07/2018,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4625,11524146,Porto de Itaguaí,Porto de Itaguai,-2.291.579,-4.382.421,L,PRT,BR,,21.0,3302007.0,,,0,,4,America/Sao_Paulo,26/04/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4626,11524686,Vila do Conde,Vila do Conde,-154.288,-487.481,L,PRT,BR,,16.0,1501303.0,,,0,,8,America/Belem,04/05/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4627,11524773,Vila do Conde,Vila do Conde,-2.353.155,-468.681,P,PPL,BR,,27.0,3505708.0,,,0,,783,America/Sao_Paulo,06/05/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4628,11525610,Suape Port,Suape Port,-8.4,-3.496.667,L,PRT,BR,,30.0,,,,0,,8,America/Recife,03/11/2020,Port of Suape,Porto De Suape,Suape Port,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4629,11525611,Itajai,Itajai,-2.691.667,-4.863.333,L,PRT,BR,,26.0,,,,0,,-9999,America/Sao_Paulo,31/10/2020,Itajai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4630,11525612,Laguna,Laguna,-28.5,-4.878.333,L,PRT,BR,,26.0,,,,0,,1,America/Sao_Paulo,31/10/2020,Laguna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4631,11525613,Tramandai,Tramandai,-2.998.333,-5.013.333,L,PRT,BR,,23.0,,,,0,,4,America/Sao_Paulo,31/10/2020,Tramandai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4632,11525614,Rio Grande,Rio Grande,-32.05,-5.208.333,L,PRT,BR,,23.0,,,,0,,-9999,America/Sao_Paulo,09/05/2017,Rio Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4633,11525615,Pelotas,Pelotas,-3.178.333,-5.233.333,L,PRT,BR,,23.0,,,,0,,0,America/Sao_Paulo,31/10/2020,Pelotas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4634,11525616,Porto Alegre,Porto Alegre,-3.003.333,-5.123.333,L,PRT,BR,,23.0,,,,0,,43,America/Sao_Paulo,31/10/2020,Porto Alegre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4635,11525617,Porto Santana,Porto Santana,-0.05,-5.118.333,L,PRT,BR,,3.0,,,,0,,13,America/Belem,09/05/2017,Porto Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4636,11525618,Belem,Belem,-1.45,-48.5,L,PRT,BR,,16.0,,,,0,,15,America/Belem,31/10/2020,Belem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4637,11525619,Cameta,Cameta,-2.25,-49.5,L,PRT,BR,,16.0,,,,0,,7,America/Belem,31/10/2020,Cameta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4638,11525620,Santarem,Santarem,-241.667,-5.471.667,L,PRT,BR,,16.0,,,,0,,1,America/Santarem,31/10/2020,Santarem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4639,11525621,Itacoatiara,Itacoatiara,-3.15,-58.45,L,PRT,BR,,4.0,,,,0,,4,America/Manaus,31/10/2020,Itacoatiara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4640,11525622,Manaus,Manaus,-313.333,-6.001.667,L,PRT,BR,,4.0,,,,0,,24,America/Manaus,31/10/2020,Manaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4641,11525623,Tutoia,Tutoia,-278.333,-4.228.333,L,PRT,BR,,13.0,,,,0,,4,America/Fortaleza,09/05/2017,Tutoia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4642,11525624,Camocim,Camocim,-2.9,-4.083.333,L,PRT,BR,,6.0,,,,0,,0,America/Fortaleza,31/10/2020,Camocim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4643,11525625,Cabedelo,Cabedelo,-696.667,-3.483.333,L,PRT,BR,,17.0,,,,0,,6,America/Fortaleza,31/10/2020,Cabedelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4644,11525626,Recife,Recife,-8.05,-3.486.667,L,PRT,BR,,30.0,,,,0,,1,America/Recife,31/10/2020,Recife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4645,11525627,Porto De Maceio,Porto De Maceio,-966.667,-3.573.333,L,PRT,BR,,2.0,,,,0,,7,America/Maceio,09/05/2017,Porto De Maceio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4646,11525628,Aratu,Aratu,-1.278.333,-38.5,L,PRT,BR,,5.0,,,,0,,1,America/Bahia,31/10/2020,Aratu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4647,11525629,Madre De Deus,Madre De Deus,-12.75,-3.861.667,L,PRT,BR,,5.0,,,,0,,-9999,America/Bahia,31/10/2020,Madre De Deus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4648,11525630,Macae,Macae,-2.236.667,-4.176.667,L,PRT,BR,,21.0,,,,0,,-9999,America/Sao_Paulo,31/10/2020,Macae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4649,11525631,Porto Do Forno,Porto Do Forno,-2.296.667,-4.201.667,L,PRT,BR,,21.0,,,,0,,34,America/Sao_Paulo,31/10/2020,Porto Do Forno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4650,11525632,Angra Dos Reis,Angra Dos Reis,-2.301.667,-4.431.667,L,PRT,BR,,21.0,,,,0,,-9999,America/Sao_Paulo,31/10/2020,Angra Dos Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4651,11525633,Sao Sebastiao,Sao Sebastiao,-23.8,-45.4,L,PRT,BR,,27.0,,,,0,,3,America/Sao_Paulo,31/10/2020,Sao Sebastiao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4652,11525634,Guamare Oil Terminal,Guamare Oil Terminal,-486.667,-3.628.333,L,PRT,BR,,22.0,,,,0,,-9999,,31/10/2020,Guamare Oil Terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4653,11525635,Guaiba Island Terminal,Guaiba Island Terminal,-2.301.667,-4.403.333,L,PRT,BR,,21.0,,,,0,,-9999,America/Sao_Paulo,31/10/2020,Guaiba Island Terminal,Terminal de Sepetiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4654,11525636,Dtse / Gegua Oil Terminal,Dtse / Gegua Oil Terminal,-2.281.667,-43.15,L,PRT,BR,,21.0,,,,0,,-9999,America/Sao_Paulo,09/05/2017,Dtse / Gegua Oil Terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4655,11525637,Gebig,Gebig,-2.305.853,-4.423.111,L,PRT,BR,,21.0,,,,0,,-9999,America/Sao_Paulo,31/10/2020,Gebig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4656,11525638,Portocel,Portocel,-19.85,-40.05,L,PRT,BR,,8.0,,,,0,,-9999,America/Sao_Paulo,31/10/2020,Portocel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4657,11525639,Santa Clara,Santa Clara,-2.088.333,-5.136.667,L,PRT,BR,,27.0,,,,0,,378,America/Sao_Paulo,31/10/2020,Santa Clara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4658,11525640,Itaqui,Itaqui,-256.667,-4.436.667,L,PRT,BR,,13.0,,,,0,,9,America/Fortaleza,31/10/2020,Itaqui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4659,11525641,Natal,Natal,-578.333,-35.2,L,PRT,BR,,22.0,,,,0,,38,America/Fortaleza,09/05/2017,Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4660,11525642,Port De Aracaju,Port De Aracaju,-1.091.667,-37.05,L,PRT,BR,,28.0,,,,0,,11,America/Maceio,09/05/2017,Port De Aracaju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4661,11525643,Port De Salvador,Port De Salvador,-1.296.725,-3.851.066,L,PRT,BR,,5.0,2927408.0,,,0,,7,America/Bahia,25/03/2019,Port De Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4662,11525644,Vitoria,Vitoria,-2.031.667,-4.033.333,L,PRT,BR,,8.0,,,,0,,113,America/Sao_Paulo,31/10/2020,Vitoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4663,11525645,Tubarao,Tubarao,-2.028.333,-40.25,L,PRT,BR,,8.0,,,,0,,1,America/Sao_Paulo,31/10/2020,Tubarao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4664,11525646,Rio De Janeiro,Rio De Janeiro,-2.290.243,-4.317.236,L,PRT,BR,,21.0,3304557.0,,,0,,4,America/Sao_Paulo,31/10/2020,Rio De Janeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4665,11525647,Niteroi,Niteroi,-2.288.333,-4.311.667,L,PRT,BR,,21.0,,,,0,,7,America/Sao_Paulo,31/10/2020,Niteroi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4666,11525648,Paranagua,Paranagua,-25.5,-4.851.667,L,PRT,BR,,18.0,,,,0,,1,America/Sao_Paulo,31/10/2020,Paranagua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4667,11525649,Sao Francisco,Sao Francisco,-26.25,-4.863.333,L,PRT,BR,,26.0,,,,0,,27,America/Sao_Paulo,31/10/2020,Sao Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4668,11548974,Universidade Federal de Viçosa,Universidade Federal de Vicosa,-1.921.742,-4.622.169,S,UNIV,BR,,15.0,3155504.0,,,0,,1142,America/Sao_Paulo,15/05/2017,UFV-CRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4669,11550828,Pedra do Sino,Pedra do Sino,-2.247.222,-4.305.472,T,MT,BR,,21.0,3301850.0,,,0,2275.0,2213,America/Sao_Paulo,07/06/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4670,11550995,Senhor do Bonfim,Senhor do Bonfim,-1.046.637,-4.017.728,S,AIRP,BR,,5.0,,,,0,,509,America/Bahia,08/06/2017,Senhor do Bonfim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4671,11592260,Serra das Areias,Serra das Areias,-1.687.621,-4.934.658,T,HLL,BR,,29.0,5201405.0,,,0,995.0,845,America/Sao_Paulo,13/06/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
