geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername120,othername130,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66,othername67,othername68,othername69,othername71,othername72,othername73,othername74,othername75,othername76,othername77,othername78,othername79,othername80
3447014,Rio do Tamanduá,Rio do Tamandua,Ribeirao do Tamandua$Ribeirão do Tamanduá$Rio do Tamandua$Rio do Tamanduá,-2.328.333,-4.856.667,H,STM,BR,BR,27,,,,0,,608,America/Sao_Paulo,19/01/2012,Ribeirao do Tamandua,Ribeirão do Tamanduá,Rio do Tamandua,Rio do Tamanduá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447015,Rio Tamanduá,Rio Tamandua,Ribeirao Tamandua$Ribeirão Tamanduá$Rio Tamandua$Rio Tamanduá$Tamandua River$Tamanduá River,-2.646.667,-50.8,H,STM,BR,BR,26,,,,0,,899,America/Sao_Paulo,04/08/2021,Ribeirao Tamandua,Ribeirão Tamanduá,Rio Tamandua,Rio Tamanduá,Tamandua River,Tamanduá River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447016,Rio Tamanduá,Rio Tamandua,,-2.558.333,-5.453.333,H,STM,BR,,18,,,,0,,176,America/Sao_Paulo,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447017,Ribeirão Tamanduá,Ribeirao Tamandua,Ribeirao Tamandua$Ribeirão Tamanduá,-2.226.667,-4.821.667,H,STM,BR,,27,,,,0,,512,America/Sao_Paulo,05/03/2013,Ribeirao Tamandua,Ribeirão Tamanduá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447018,Ribeirão Tamanduá,Ribeirao Tamandua,Ribeirao Tamandua$Ribeirão Tamanduá,-21.25,-47.65,H,STM,BR,,27,,,,0,,525,America/Sao_Paulo,05/03/2013,Ribeirao Tamandua,Ribeirão Tamanduá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447019,Ribeirão Tamanduá,Ribeirao Tamandua,,-20.05,-5.318.333,H,STM,BR,,11,,,,0,,337,America/Campo_Grande,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447020,Ribeirão Tamanduá,Ribeirao Tamandua,Ribeirao Tamandua$Ribeirão Tamanduá,-19.45,-47,H,STM,BR,,15,,,,0,,840,America/Sao_Paulo,09/02/2013,Ribeirao Tamandua,Ribeirão Tamanduá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447021,Ribeirão Tamanduá,Ribeirao Tamandua,Ribeirao Tamandua$Ribeirão Tamanduá,-17.15,-4.348.333,H,STM,BR,,15,,,,0,,851,America/Bahia,05/12/2012,Ribeirao Tamandua,Ribeirão Tamanduá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447023,Lagoa Tamanduá,Lagoa Tamandua,Lagoa Tamandua$Lagoa Tamanduá,-1.569.172,-4.321.549,H,LK,BR,,15,,,,0,,528,America/Sao_Paulo,09/03/2020,Lagoa Tamandua,Lagoa Tamanduá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447024,Ilha do Tamanduá,Ilha do Tamandua,Ilha do Tamandua$Ilha do Tamanduá,-23.6,-4.528.333,T,ISL,BR,,27,,,,0,,5,America/Sao_Paulo,05/03/2013,Ilha do Tamandua,Ilha do Tamanduá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447025,Ilha do Tamanduá,Ilha do Tamandua,Ilha do Tamandua$Ilha do Tamanduá,-20.1,-4.818.333,T,ISL,BR,,27,,,,0,,493,America/Sao_Paulo,05/03/2013,Ilha do Tamandua,Ilha do Tamanduá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447026,Córrego Tamanduá,Corrego Tamandua,Corrego Tamandare$Corrego Tamandua$Córrego Tamandaré$Córrego Tamanduá,-16.65,-5.013.333,H,STM,BR,BR,29,,,,0,,619,America/Sao_Paulo,19/01/2012,Corrego Tamandare,Corrego Tamandua,Córrego Tamandaré,Córrego Tamanduá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447027,Córrego Tamanduá,Corrego Tamandua,,-14.1,-5.483.333,H,STM,BR,,14,,,,0,,412,America/Cuiaba,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447028,Arroio Tamanduá,Arroio Tamandua,,-3.186.667,-5.293.333,H,STM,BR,,23,,,,0,,35,America/Sao_Paulo,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447029,Rio Tamanduá,Rio Tamandua,Arroio Tamandua$Arroio Tamanduá$Rio Tamandua$Rio Tamanduá,-2.605.389,-5.352.056,H,STM,BR,BR,18,,,,0,,360,America/Sao_Paulo,19/01/2012,Arroio Tamandua,Arroio Tamanduá,Rio Tamandua,Rio Tamanduá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447030,Tamanduá,Tamandua,,-2.038.333,-5.328.333,S,RSTP,BR,,11,5007109.0,,,0,,381,America/Campo_Grande,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447031,Tamanduá,Tamandua,Tamandua$Tamanduá,-1.928.333,-42.35,S,RSTN,BR,,15,3109253.0,,,0,,197,America/Sao_Paulo,05/12/2012,Tamandua,Tamanduá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447032,Tamanduá,Tamandua,,-2.926.917,-5.301.056,P,PPLL,BR,,23,4320263.0,,,0,,364,America/Sao_Paulo,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447033,Tamanduá,Tamandua,,-2.658.333,-5.058.333,P,PPL,BR,,26,4218251.0,,,0,,956,America/Sao_Paulo,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
