,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66,othername67,othername68,othername69,othername70,othername71,othername72,othername73
3672,7537667,Rio Itapuca,Rio Itapuca,-2.303.664,-4.355.787,H,STM,BR,,21,,,,0,,7,America/Sao_Paulo,21/01/2012,Rio Itapuca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3673,7537668,Morro da Cabeça do Boi,Morro da Cabeca do Boi,-2.302.963,-435.464,T,MT,BR,,21,3304557.0,,,0,302.0,221,America/Sao_Paulo,03/08/2012,Morro da Cabeca do Boi,Morro da Cabeça do Boi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3674,7537669,Morro da Itapuca,Morro da Itapuca,-230.315,-4.354.068,T,MT,BR,,21,3304557.0,,,0,392.0,337,America/Sao_Paulo,03/08/2012,Morro da Itapuca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3675,7537670,Xavier,Xavier,-2.302.632,-4.355.244,P,PPLX,BR,,21,3304557.0,,,0,,6,America/Sao_Paulo,03/08/2012,Xavier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3676,7537671,Itapuca,Itapuca,-2.303.755,-4.355.755,P,PPLX,BR,,21,3304557.0,,,0,,8,America/Sao_Paulo,03/08/2012,Itapuca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3677,7537672,Varzinha,Varzinha,-2.304.127,-4.356.032,L,LCTY,BR,,21,,,,0,,4,America/Sao_Paulo,21/01/2012,Varzinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3678,7537673,São Salvador,Sao Salvador,-230.357,-4.353.095,L,LCTY,BR,,21,,,,0,,117,America/Sao_Paulo,07/11/2018,Sao Salvador,São Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3679,7537674,Poço de Pedras,Poco de Pedras,-2.302.734,-4.356.159,P,PPLX,BR,,21,3304557.0,,,0,,10,America/Sao_Paulo,03/08/2012,Poco de Pedras,Poço de Pedras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3680,7537675,Canal do Portinho,Canal do Portinho,-2.304.229,-4.357.677,H,CNL,BR,,21,,,,0,,5,America/Sao_Paulo,21/01/2012,Canal do Portinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3681,7537676,Capim Melado,Capim Melado,-2.302.322,-4.356.798,L,LCTY,BR,,21,,,,0,,3,America/Sao_Paulo,21/01/2012,Capim Melado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
